site;date; percent;gorg;cuber
gorg;40.26;2019-07-27;31.90;53.50
gorg;40.26;2019-07-28;31.90;53.50
gorg;39.22;2019-07-30;31.82;50.96
gorg;39.22;2019-07-31;31.82;50.96
gorg;39.22;2019-08-01;31.82;50.96
gorg;39.22;2019-08-02;31.82;50.96
gorg;39.22;2019-08-03;31.82;50.96
gorg;39.22;2019-08-04;31.82;50.96
gorg;39.22;2019-08-05;31.82;50.96
gorg;39.22;2019-08-06;31.82;50.96
gorg;39.22;2019-08-07;31.82;50.96
gorg;39.22;2019-08-08;31.82;50.96
gorg;39.22;2019-08-09;31.82;50.96
gorg;39.22;2019-08-10;31.82;50.96
gorg;39.22;2019-08-11;31.82;50.96
gorg;39.22;2019-08-12;31.82;50.96
gorg;39.22;2019-08-13;31.82;50.96
gorg;39.22;2019-08-14;31.82;50.96
gorg;39.22;2019-08-15;31.82;50.96
gorg;39.22;2019-08-16;31.82;50.96
gorg;39.22;2019-08-17;31.82;50.96
gorg;39.22;2019-08-18;31.82;50.96
gorg;39.22;2019-08-19;31.82;50.96
gorg;37.15;2019-08-20;31.35;46.34
gorg;37.15;2019-08-21;31.35;46.34
gorg;37.15;2019-08-22;31.35;46.34
gorg;37.15;2019-08-23;31.35;46.34
gorg;37.15;2019-08-24;31.35;46.34
gorg;37.15;2019-08-25;31.35;46.34
gorg;37.15;2019-08-26;31.35;46.34
gorg;37.15;2019-08-27;31.35;46.34
gorg;37.15;2019-08-28;31.35;46.34
gorg;34.94;2019-08-29;31.06;41.09
gorg;34.94;2019-08-30;31.06;41.09
gorg;34.94;2019-08-31;31.06;41.09
gorg;34.94;2019-09-01;31.06;41.09
gorg;34.94;2019-09-02;31.06;41.09
gorg;34.94;2019-09-03;31.06;41.09
gorg;34.39;2019-09-04;31.06;39.67
gorg;34.39;2019-09-05;31.06;39.67
gorg;34.39;2019-09-06;31.06;39.67
gorg;34.39;2019-09-07;31.06;39.67
gorg;34.39;2019-09-08;31.06;39.67
gorg;34.39;2019-09-09;31.06;39.67
gorg;33.55;2019-09-11;31.06;37.50
gorg;43.16;2019-09-12;42.99;43.43
gorg;44.25;2019-09-13;44.54;43.80
gorg;44.25;2019-09-14;44.54;43.80
gorg;44.25;2019-09-15;44.54;43.80
gorg;44.25;2019-09-16;44.54;43.80
gorg;44.25;2019-09-16;44.54;43.80
gorg;44.25;2019-09-17;44.54;43.80
gorg;44.88;2019-09-18;45.56;43.80
gorg;44.88;2019-09-19;45.56;43.80
gorg;44.88;2019-09-20;45.56;43.80
gorg;44.88;2019-09-21;45.56;43.80
gorg;44.88;2019-09-22;45.56;43.80
gorg;44.88;2019-09-23;45.56;43.80
gorg;44.48;2019-09-24;45.78;42.43
gorg;44.48;2019-09-25;45.78;42.43
gorg;44.48;2019-09-26;45.78;42.43
gorg;44.48;2019-09-27;45.78;42.43
gorg;44.48;2019-09-28;45.78;42.43
gorg;44.48;2019-09-29;45.78;42.43
gorg;44.48;2019-09-30;45.78;42.43
gorg;44.06;2019-10-01;45.40;41.92
gorg;44.06;2019-10-02;45.40;41.92
gorg;44.06;2019-10-03;45.40;41.92
gorg;43.73;2019-10-04;45.24;41.34
gorg;43.73;2019-10-05;45.24;41.34
gorg;43.73;2019-10-06;45.24;41.34
gorg;43.73;2019-10-07;45.24;41.34
gorg;43.73;2019-10-08;45.24;41.34
gorg;43.41;2019-10-09;45.24;40.50
gorg;43.41;2019-10-10;45.24;40.50
gorg;43.41;2019-10-11;45.24;40.50
gorg;43.41;2019-10-12;45.24;40.50
gorg;43.41;2019-10-13;45.24;40.50
gorg;43.41;2019-10-14;45.24;40.50
gorg;42.86;2019-10-15;45.24;39.09
gorg;42.86;2019-10-16;45.24;39.09
gorg;42.86;2019-10-17;45.24;39.09
